,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-14,0.0,87.73257240977512,209.17163030134597,228.83348806205038,204.03705356184682,217.2697556207173,243.36068087433094,204.8145748370864,200.59354582825608,191.2384166214969,186.87838060212096,209.2985181354312,208.22874382646168,216.55923424957248,176.81994944187156,209.03892116854965,188.9489357830674,214.09701631366895,225.28252408648288,203.04468085436312,227.57515443795228,194.22477706970224,201.65228102171181,240.25474572023882,186.7259585642323,206.04189343533514,200.8766436991112,206.37563574254372,210.37985733854848,228.13839584853272,206.10633269375535,220.6675558229424
2018-04-15,0.0,52.76946795657904,279.158563019017,264.4884982062907,271.0502080204711,258.68426871614975,273.21904168101247,276.36214260391415,257.0357813999263,238.12566782430238,253.4059509860156,284.52233561951226,243.06976157739356,261.87837581707896,243.47768887965788,263.0239256408706,230.38918481144154,240.1899171877793,259.3915985739778,241.28225940928073,288.2495581905256,242.6694860773117,242.13515875580595,267.12430254418666,250.98787479815715,226.74890137579666,258.9021082144862,263.135484715137,266.08199242157485,255.14135251120499,262.47100495151784,259.9078104166856
2018-04-16,0.0,62.242613210538565,403.1853458778471,382.6433819666331,380.10547660200336,364.06342109259003,356.4483876139171,406.65532025976444,407.2035914135585,369.5457082902687,406.31049118858004,352.8819146958345,392.7788846785675,400.2834459087166,364.96344710477905,388.4409479332458,389.1699467575268,380.70356166179903,382.6871478511509,369.2287219571697,409.2928085302956,409.2276797337531,457.9197730913613,336.8109906826401,380.7067499777588,390.56789364042584,403.8179959107627,395.80702631777143,399.9356469606384,389.0072889748987,410.1834973259204,380.04015332477815
2018-04-17,0.0,72.92364690312702,227.50110182135666,199.45588952088394,198.8525109862451,202.78072550344953,229.46347773961224,188.49849025864725,210.6166016705424,195.8100834075037,224.09142352713653,187.45823797234678,187.6035392159039,195.59841622056476,194.04477457697192,180.0355702015024,204.95834107215333,203.9316622600887,198.98298552315796,212.48254504304953,199.09388886342333,212.82646367744272,189.27285929179394,148.41628622704476,185.16679864141463,198.0000367816201,230.06530204937906,218.30211524523892,198.68297869326656,192.10735295943462,191.41849944608057,217.12089138912154
2018-04-18,0.0,56.493004411290364,586.6985558190446,679.5830563307,561.7258726061233,747.7360378274142,669.9996064015914,695.5610368152328,748.9653721204348,716.2068935342068,859.9229583531846,659.3818568841385,630.233234046767,687.3196572182716,662.3722238087258,721.2183559206459,540.6112672910987,793.371151375929,641.8334329750021,749.3259460749314,679.159818950907,772.5487203646657,769.8714843070983,574.2562421674294,746.8112157435935,750.0825275858333,601.1686552682069,633.8126928099215,709.2687767136472,644.8155675842918,719.9082172993132,671.1105338647195
2018-04-19,0.0,183.5447349013956,148.65697003718702,122.39071820949215,114.4658033919663,160.7210638470376,166.66444229937022,160.27551119132605,147.9021161831788,162.74731718239107,168.56944092859047,145.8226471194457,166.43554282023607,152.68650414857655,149.55268244806737,165.27506245029642,142.39680627111855,165.66203163132667,146.6029155117819,151.89198608024108,173.22966663879438,151.86776560076237,142.58054601887213,115.09344628606846,148.46169822170296,120.87737571501583,150.95030029604393,118.23517174393702,161.71289576050833,150.94292105954477,173.71200965489763,167.75114154135358
2018-04-20,0.0,44.367137631721306,131.42463366602487,131.5075455220601,117.75084181685976,120.1305949559287,135.4819319640975,112.62996116959977,124.22416925686868,107.31055994741489,134.45633738927748,121.87244668541238,118.69814392900321,157.2524375274838,138.89252865359094,127.90851644913012,120.61070147698977,107.52063948119012,141.3568874291118,132.41603230305296,104.70186275949834,129.14882681954845,105.31222930411904,123.70431812335738,142.73195361338082,110.59505027965452,153.48397147730583,119.00630905776096,134.03992382196023,127.14210806919549,130.28512849218012,112.71104004014607
2018-04-21,0.0,42.072594493288214,94.66446708584607,81.39071747014059,99.33102968048358,92.48678584043489,117.9524327689657,91.60067755265904,92.69078097637286,102.71422699825547,92.93472183146345,94.74851117425023,99.37977469302892,94.7542337107944,85.46269126151394,103.37481172011155,86.70173573796393,91.8152798103219,87.14473830567499,91.6242361299494,105.97987563691287,97.83364397283714,101.32535239889762,82.565189242725,95.89420016046726,92.93508220193608,103.21823091734451,92.24116188590381,104.18349806235976,99.50099810564905,92.69010643230678,105.16230476747882
2018-04-22,0.0,32.77249784313822,108.08548924124155,136.81016005123834,136.31355074466725,109.4305891212112,122.55738008434476,106.08746739124513,149.39246303695285,115.76703624057215,121.35476984348166,115.61720928912,127.93384896087701,135.31834183126642,112.39012687663335,147.45522678259476,162.70889819234796,140.19378052938666,135.84441474821298,135.8430805507343,133.1784656372182,140.0867274660769,123.29865743483452,144.45962397374154,150.46920497002034,139.9475406622174,144.41928261169522,115.08044061617441,123.52990426680144,131.67269571988416,125.50781547737346,121.23214845324691
2018-04-23,0.0,34.215528342577024,127.66701753559273,140.69615928887427,117.44230617801237,116.33465578475547,133.55020373848893,118.75264064557143,143.1134139660312,94.66863007429761,116.34243130074013,114.17606327637775,127.9727016358006,153.35904724302677,115.46882387830631,129.91666431059846,100.7196687901706,134.04945199734036,149.45187317225654,126.75704660013226,145.15983496547344,115.07972129122906,111.76637056494809,110.40620788298929,126.51403122644227,128.31381503513367,127.71584396203632,115.33085601255034,128.1370069384757,140.0367450914725,118.82284343930822,136.522392776835
