,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-14 00:00:00,0.0,2.577319588,5.167019976,2.065891858,0.552574574,1.974825288,7.493263628,3.984935456,1.725557968,2.529319878,1.55702453,1.397074444,3.386650246,0.495671066,1.661159668,1.367829882,3.455253346,4.110217804,4.488306668,2.431455198,1.497960734,0.251503972,0.487326426,1.728971804,2.628216046,2.667242364,2.816080104,2.801363238,0.110817608,6.472483316,1.356838638,4.650570852
2018-04-14 01:00:00,0.0,2.577319588,5.167019976,2.065891858,0.552574574,1.974825288,7.493263628,3.984935456,1.725557968,2.529319878,1.55702453,1.397074444,3.386650246,0.495671066,1.661159668,1.367829882,3.455253346,4.110217804,4.488306668,2.431455198,1.497960734,0.251503972,0.487326426,1.728971804,2.628216046,2.667242364,2.816080104,2.801363238,0.110817608,6.472483316,1.356838638,4.650570852
2018-04-14 02:00:00,0.0,1.93298969,5.714291356,0.353288292,3.326043026,0.736764872,3.646432262,0.33794948,4.208239324,0.979317862,2.019547216,1.135978048,1.356155362,2.62160056,2.478793832,0.380539728,4.643830022,4.134095012,0.73589738,2.206018896,2.379663758,3.038951364,0.456769372,8.598583262,0.329130256,2.286009724,3.360961192,5.613076028,4.457765076,4.87688393,5.159557024,4.04506986
2018-04-14 03:00:00,0.0,1.288659794,3.883288684,5.53595432,5.74716183,2.230486546,5.797074018,6.048520008,3.730177166,3.01660524,0.033062616,4.480970642,4.64903127,5.580091902,1.726974018,5.032137142,2.203560258,4.75082642,2.651043858,7.133912698,2.783980658,3.777796962,2.962451066,5.686171096,4.817170272,3.997733114,6.478361226,2.668758212,2.41751533,5.670193958,8.591247284,3.5861269
2018-04-14 04:00:00,0.0,0.644329896,4.137230582,6.182185444,5.631765428,3.059371248,1.387241708,2.879145434,4.15096209,6.641093936,3.910841984,4.128109482,2.210430744,4.087540968,3.11920662,3.371692,3.98888693,3.57478656,4.200369898,3.142937466,5.917524076,1.801506896,4.964217848,6.221136308,4.474968502,5.035822678,3.430426636,7.172541034,4.304096344,4.31117436,5.439841966,4.788147104
2018-04-14 05:00:00,0.0,0.0,3.824732858,4.435569056,0.596817716,4.674825886,5.353017252,5.002839612,3.81893848,5.720392304,5.012167972,2.274297774,6.554553254,5.244032922,5.953180594,3.58592046,4.836846566,4.214444114,1.042691322,6.745891014,3.327718204,5.239332304,5.777363366,2.433829536,3.84758717,4.11232938,1.899014824,2.473778146,1.040261984,0.851968378,2.038931422,2.613910618
2018-04-14 06:00:00,0.0,0.0,0.13930847,1.587595722,0.76596616,7.01662,4.027817446,3.181269442,2.726116608,2.567730914,4.86237004,4.32150548,2.24399856,1.267436536,5.332563312,5.805261892,1.054358514,3.478322084,2.125747988,0.8497744,5.973358908,2.035672384,2.237948868,7.414482604,4.033679018,6.477400282,0.669510044,1.756506342,4.972848474,2.689544496,6.571764978,2.40970988
2018-04-14 07:00:00,0.0,0.0,5.697051604,3.314608114,4.514224784,7.366509828,6.44636312,4.34253275,6.205961188,0.379449858,6.254499698,5.285027698,6.250719524,7.486018386,4.81920878,5.372447346,10.459813486,3.067261164,6.249130322,5.392966698,5.14964571,8.57331947,2.174246688,5.273601724,8.634664056,5.270798794,4.218926004,8.225764564,7.840020862,4.043249762,5.703687088,6.04555919
2018-04-14 08:00:00,0.0,0.0,0.0,0.791811241999997,0.29070056399999245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 12:00:00,0.0,1.93298969,8.892034208,8.364956184,8.452409364,2.5610460880000065,9.967159082,0.0,0.059903745999998925,3.0576555509999963,0.0,4.4334847739999965,2.5644457959999873,0.0,0.0,6.969733952000004,6.839295559000006,0.0,3.270003803000005,7.838659174,0.0,0.0,11.514018710000006,0.0,6.802544194000028,1.2507277040000133,7.437048590000008,6.192632513999998,0.9751178080000039,0.0,6.591202512999994,9.098401678000059
2018-04-14 13:00:00,0.0,2.577319588,0.563420438,4.034374098,3.105999094,5.91783699,2.211665094,4.793398402,1.347018758,5.360224306,4.176059836,4.259447802,3.08401668,5.590549138,2.963912248,1.427983698,1.095161248,3.743620204,5.99495861,3.487966544,8.459652574,4.725008196,0.680048694,9.4218742,3.876275734,1.987139752,1.97737319,3.779449412,4.657923516,0.966951138,3.847047404,1.987192132
2018-04-14 14:00:00,0.0,2.577319588000001,3.8633202909999893,14.067698098,10.465764278,9.459733212,2.6859777750000022,6.484170790999995,11.138303036,9.885992468,10.228525729,10.789379876,9.096564172,10.303750218000005,7.185794307000005,9.592857976,0.0,11.419610621999993,11.27636409,10.165841012,8.747666601000017,9.493167516999996,9.18878109,4.550838127999997,0.010090417999975898,12.925735308,9.46335424,0.0,12.249641704,8.72453182500001,0.0,12.34840093
2018-04-14 15:00:00,0.0,0.0,8.355732452,7.574702694,5.880522226,10.461994908,10.027648274,7.156953826,7.40912346,7.451174522,8.592736504,8.27844319,6.436626856,9.921946108,6.433965304,11.305206774,8.331051484,10.43332485,9.208604922,4.685068658999992,11.209234678,11.56164737,10.723435834,8.262774328,6.925949262,7.524840612,6.543224118,8.068634054,6.215500116,12.05943895,6.465171038,4.562332926999943
2018-04-14 16:00:00,0.0,4.510309278,4.35044434,3.43910455,5.701060988,3.316700854,3.600401092,6.87583131,4.167027174,3.715943766,2.596777804,6.02316664,6.011747802,4.654719106,3.30794581,3.130595788,3.942084444,1.793673458,5.58332632,0.166144794,6.777362658,4.58385524,4.710502982,6.380917006,3.585478306,2.56626281,4.47439976,8.104389442,5.827787978,4.079715812,4.072643196,0.188314796
2018-04-14 17:00:00,0.0,5.154639176,2.675006682,3.37500264,4.09554387,2.956946738,2.605042774,5.624934914,6.793963106,2.836141652,3.923128396,2.948918462,4.173066738,5.85934904,5.5911295,2.607263604,2.006469718,4.941935622,4.45691391,3.532570938,3.28783375,1.3784341,2.411474182,3.823062244,2.666561734,2.135978316,3.639240046,1.75727865,6.08543591,6.844137798,4.346330858,4.522568554
2018-04-14 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-14 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 00:00:00,0.0,2.577319588,8.71940155,5.269911162,3.772989856,0.725633436,3.350269254,9.263418212,2.260870208,4.111815766,4.39319808,4.715662064,2.935312676,7.690805366,3.853025602,6.608625506,2.806447036,5.255595214,5.657829406,1.881685002,4.203383754,2.453886986,3.493902994,6.939856154,3.922336622,5.68411305,0.571390222,5.257848222,6.889414938,2.490520632,3.85291968,3.720604848
2018-04-15 01:00:00,0.0,2.577319588,2.201136616,1.825027492,3.138110478,0.668456414,0.973402744,5.604092438,4.512604658,0.005550538,1.952237808,2.23332364,3.986265766,2.475114012,1.25326959,0.068955648,2.793703794,0.021760026,1.137308292,1.361977164,2.391205576,2.410097996,3.047749566,0.78760125,0.682947174,0.507556608,2.055900972,1.89465418,2.47493153,1.802903618,5.500646432,2.308314928
2018-04-15 02:00:00,0.0,1.93298969,5.756080772,3.222060742,5.320890148,1.101525618,0.612748396,5.472297692,3.340437216,1.068434508,2.43670186,3.70196423,2.83042869,3.123364246,7.585114864,0.898944136,4.40603584,4.500380408,4.614093714,1.532810124,5.040101766,1.86188845,5.212875998,5.049397002,3.867504294,5.68656295,5.898839734,4.268091438,2.70422594,3.354887498,6.827378438,5.49690704
2018-04-15 03:00:00,0.0,1.288659794,1.533922248,6.927421458,9.430884936,5.015951458,11.7840436,7.425683534,5.805901372,6.479948016,9.011746194,5.077149748,2.531876438,7.71454613,3.406217504,5.235349074,6.406208788,6.10358635,7.746347432,5.216163206,4.227181548,4.931702242,7.243160568,7.170975836,8.690178136,5.028409172,6.199364698,6.344018124,6.588574632,11.111971906,4.455881482,5.469106014
2018-04-15 04:00:00,0.0,0.644329896,1.890993644,5.607675176,2.730105172,8.56281688,5.181672946,7.697352846,3.417188508,2.893347268,0.648882672,3.628773898,2.24880675,0.97640951,3.732666188,2.395238534,2.337511324,2.183815346,3.89137195,1.024742248,5.1751705,4.693942546,3.492091026,5.66548123,3.930650364,2.138861848,3.016245918,6.875352424,5.810139638,6.224398754,0.457202578,1.797852786
2018-04-15 05:00:00,0.0,0.0,6.668442692,7.191214838,4.960709178,3.889559828,7.467208694,5.133287574,4.862491852,7.712967824,5.37170317,4.179942496,4.856466162,4.752580436,1.166193562,5.159754764,5.847040374,5.051523908,4.061376816,8.890581204,9.30776222,5.372967344,7.342844558,9.758025794,3.026804154,5.771427446,7.545297552,5.179000088,6.655527006,6.787407782,9.287980046,4.13144516
2018-04-15 06:00:00,0.0,0.644329896,2.378468624,3.436136424,0.555431228,6.745337666,3.714549276,3.930402374,4.697540088,3.011835274,5.36488079,5.272435082,2.227850224,4.471208548,3.736884562,5.211341216,0.44583756,6.279806192,4.920256242,4.231524224,5.055676784,2.95367389,1.702716806,3.184426774,5.070798212,5.976434874,0.787634126,0.564767568,5.294123542,4.169158828,3.084802112,6.248234068
2018-04-15 07:00:00,0.0,0.9664948450000024,3.831720232,6.145542476,4.350950514,3.666024428,5.565863648,5.518059892,6.370539536,3.783188636,2.865896486,8.475842716,5.90446925,6.422272898,4.974502622,6.36356846,4.233180536,3.133148718,7.082686964,6.576394998,5.06083423,6.121197728,5.787038656,5.233142366,3.773079136,5.855708032,5.589097358,6.24298822,7.833055852,4.09031701,7.470020084,3.45403163
2018-04-15 08:00:00,0.0,0.0,0.0,0.0,1.7373098389999897,0.0,0.0,0.0,0.0,0.9267796660000034,0.0,0.0,0.0,0.0,1.942260739000011,0.0,1.612673439000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.610989091999992,0.0,0.0,0.0,0.0,0.0,0.0,1.1110145850000022
2018-04-15 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 13:00:00,0.0,0.0,4.39624469,5.962125356,1.058930102,5.084967072,5.817107298,4.954225636,3.040704534,4.975973882,6.229648164,1.071765696,4.0342377,3.422856394,3.72120121,5.62162378,2.863593364,2.444233452,2.949139868,3.22792036,5.870344192,1.782716652,1.593418278,5.25271898,2.889041736,5.05291571,3.29349388,4.551364624,2.523898266,2.598763614,3.599810724,3.324816918
