,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-14,0.0,77.08440227208334,-2.601245913208333,-2.7995264237499993,-2.486630353166666,-2.6545203227500003,-3.0309319647083335,-2.529059036708333,-2.4669520863333334,-2.361265088958333,-2.2801569522916667,-2.548036614833333,-2.558527385416666,-2.6503490423333336,-2.1764580692083335,-2.5548875051666666,-2.346327705041667,-2.6571806549166666,-2.7404860732916667,-2.508777612041666,-2.7920651267916674,-2.3629874894583334,-2.4489963146666667,-2.980217251833333,-2.3025221255833332,-2.537719300083334,-2.467666669916667,-2.55898061975,-2.55273126325,-2.8359482099583335,-2.5642125852916666,-2.729036511375
2018-04-15,0.0,92.98719949104168,-3.334858523333333,-3.1980646233749987,-3.2703799535416667,-3.1102466599583334,-3.305077495916667,-3.3859915172083324,-3.093701569583333,-2.845053733083333,-3.0408222118333335,-3.410338681166667,-2.8975172141249996,-3.1491920231666666,-2.9262505778750003,-3.1342532204583335,-2.7745579294583336,-2.8892990550416666,-3.136856658833333,-2.8722679801666664,-3.4665879235833335,-2.9135453478333333,-2.933544247041667,-3.23350230025,-3.026491361666666,-2.729597992041666,-3.113632330208334,-3.1874807346250003,-3.2240249026666667,-3.1045698871250003,-3.1581235852500007,-3.1213692506249995
2018-04-16,0.0,110.97036808483334,-3.904762767541666,-3.6657530215833334,-3.6515864080416662,-3.4438019286666663,-3.422434870708333,-3.889217048541667,-3.8907911094166665,-3.4766073231250005,-3.87405218825,-3.295524482208334,-3.7319951152499997,-3.811463760833334,-3.436309710875,-3.748194121833334,-3.7640006754583326,-3.603858238499999,-3.6007500455,-3.4848421120416657,-3.9276818915000007,-3.8720399581250007,-4.367663124000001,-3.1743146501250004,-3.5754425855416656,-3.7285510077499997,-3.8843457463333326,-3.7566855742916676,-3.8132136070833336,-3.691210285541666,-3.85110356675,-3.632171159416668
2018-04-17,0.0,63.39908670079166,-2.371232308708334,-2.1009521535416664,-2.0959748972499996,-2.1572123304583335,-2.3780365013750004,-1.9737939906249995,-2.2368114863333335,-2.0687071744583334,-2.3847029047499997,-1.9573198437083332,-1.9726786486666665,-2.0566006539999995,-2.0542539195833327,-1.9251685866666663,-2.172814159791667,-2.14788617025,-2.08716472225,-2.2281556977916663,-2.0580416369166668,-2.221562299291667,-2.007886634,-1.5337021238333335,-1.9615008507083331,-2.0770444473333334,-2.4495071409999993,-2.3029447557916667,-2.108917696083333,-2.022626989916667,-2.030780254333333,-2.255105721375
2018-04-18,0.0,64.95787804791667,-2.151631006958333,-2.3645436185833333,-1.9130748670833333,-2.2648659500416666,-1.9185821053333332,-1.9594670080833332,-1.975315707041666,-2.293476744291667,-2.3688926889999995,-2.1520515613333333,-2.0358846089583333,-1.9290201476250004,-2.3367481180000005,-2.1495349894166673,-1.8335782281250002,-2.461677275916667,-2.1764539638750002,-2.4908074488333334,-2.2937697918333337,-2.158988034,-2.4110813342083337,-2.125988518625,-2.41259315025,-2.3782260132916666,-2.07140422825,-1.7778190252083332,-2.203021101791667,-2.0742650198750003,-2.278197968083334,-1.9969178239999996
2018-04-19,0.0,51.09828054175,-1.654307960625,-1.3695928657083332,-1.2650858165416665,-1.8371842199166661,-1.90324307625,-1.8300129353333332,-1.7063695091249997,-1.8356947909166668,-1.907884219041666,-1.6468225507499998,-1.8853385765833333,-1.6871329460833333,-1.7041626942916668,-1.8286573112916669,-1.5992802718333332,-1.8815876250416668,-1.6194608777500001,-1.7344111111666667,-2.01276221925,-1.7317905738750001,-1.6323979971666667,-1.2947351808749998,-1.6618133592500006,-1.3410494572916667,-1.7005097037916668,-1.360049103875,-1.8270294145000001,-1.7434993992499999,-2.001901940416667,-1.8945128339583335
2018-04-20,0.0,45.307213753625,-1.5675807540416666,-1.60812148425,-1.400562879125,-1.4938906785416666,-1.6054538432916665,-1.359230585166667,-1.4792919540833331,-1.2746003351249997,-1.6702930694583336,-1.4758407042916666,-1.3991960035833333,-1.884654733416667,-1.6467448975833332,-1.5013780113333333,-1.4931217192083335,-1.2820327179583335,-1.695433218125,-1.6096267063749998,-1.2207454265833335,-1.5386287892499997,-1.2478832937916666,-1.4736718603749999,-1.7359565338750003,-1.3222807009166668,-1.828238800416667,-1.4628169294166666,-1.610810762458333,-1.4981240412916668,-1.562282724375,-1.3587195959166667
2018-04-21,0.0,42.32091464458333,-1.4144864047916668,-1.2070046162916668,-1.4571187567916668,-1.3625165099583336,-1.7367548911250001,-1.3609135052916665,-1.3880395780416668,-1.495404895541667,-1.3784594984583334,-1.4070615360416665,-1.476990189625,-1.3855760876249998,-1.2473113238750002,-1.5136267007083333,-1.2757316754999999,-1.3506839707083333,-1.2603854511666668,-1.3510808921666666,-1.5483520410000002,-1.4378639730833331,-1.4631853538750004,-1.2010755345416666,-1.399961739,-1.337121339625,-1.5062016370833335,-1.3743801663750002,-1.5505547182083335,-1.4829601130416667,-1.3788305202083333,-1.5712810248333333
2018-04-22,0.0,52.578913169166675,-1.450751134708333,-1.8603324145416666,-1.8628418235416666,-1.4573062686666665,-1.6493268551249995,-1.4275227585,-2.0040245015416667,-1.5594382435833332,-1.6106854176249998,-1.539618431875,-1.7148052154166666,-1.8234370258333332,-1.528247270791667,-1.990200448916667,-2.1901746513749996,-1.898305623583333,-1.8359571204166665,-1.8211342886250002,-1.7998665705000005,-1.8677669876666665,-1.663884174083333,-1.9406353930000002,-1.9911880400416668,-1.8895014183333336,-1.9585308899999996,-1.525995999166667,-1.6521284305000001,-1.756640234875,-1.6981641153333333,-1.6105014209999995
2018-04-23,0.0,53.09635467408333,-1.7736596174999997,-2.08279445375,-1.6361634539583336,-1.706419198708333,-1.9180079427083332,-1.6036711849999998,-2.012532110875,-1.3611927603333334,-1.6550169174166662,-1.6076536709583333,-1.877751543875,-2.1095301162499998,-1.6999855642083335,-1.8649192214583332,-1.3960428342916666,-1.8921606061249996,-2.0189161699583336,-1.6854844704583334,-1.9811888268750002,-1.6409416068749998,-1.6060453223333335,-1.6201785611666668,-1.6557679427916667,-1.7901843661666665,-1.816927387,-1.6296056733333328,-1.796676309791666,-1.9841508362500002,-1.685943764958333,-1.9868422387083333
