,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-14 00:00:00,11.590099683999998,65.723306896,-5.167019976,-2.065891858,-0.552574574,-1.974825288,-7.493263628,-3.984935456,-1.725557968,-2.529319878,-1.55702453,-1.397074444,-3.386650246,-0.495671066,-1.661159668,-1.367829882,-3.455253346,-4.110217804,-4.488306668,-2.431455198,-1.497960734,-0.251503972,-0.487326426,-1.728971804,-2.628216046,-2.667242364,-2.816080104,-2.801363238,-0.110817608,-6.472483316,-1.356838638,-4.650570852
2018-04-14 01:00:00,11.590099683999998,65.723306896,-5.167019976,-2.065891858,-0.552574574,-1.974825288,-7.493263628,-3.984935456,-1.725557968,-2.529319878,-1.55702453,-1.397074444,-3.386650246,-0.495671066,-1.661159668,-1.367829882,-3.455253346,-4.110217804,-4.488306668,-2.431455198,-1.497960734,-0.251503972,-0.487326426,-1.728971804,-2.628216046,-2.667242364,-2.816080104,-2.801363238,-0.110817608,-6.472483316,-1.356838638,-4.650570852
2018-04-14 02:00:00,14.995293166,70.62191021,-5.714291356,-0.353288292,-3.326043026,-0.736764872,-3.646432262,-0.33794948,-4.208239324,-0.979317862,-2.019547216,-1.135978048,-1.356155362,-2.62160056,-2.478793832,-0.380539728,-4.643830022,-4.134095012,-0.73589738,-2.206018896,-2.379663758,-3.038951364,-0.456769372,-8.598583262,-0.329130256,-2.286009724,-3.360961192,-5.613076028,-4.457765076,-4.87688393,-5.159557024,-4.04506986
2018-04-14 03:00:00,19.922584372,107.745800342,-3.883288684,-5.53595432,-5.74716183,-2.230486546,-5.797074018,-6.048520008,-3.730177166,-3.01660524,-0.033062616,-4.480970642,-4.64903127,-5.580091902,-1.726974018,-5.032137142,-2.203560258,-4.75082642,-2.651043858,-7.133912698,-2.783980658,-3.777796962,-2.962451066,-5.686171096,-4.817170272,-3.997733114,-6.478361226,-2.668758212,-2.41751533,-5.670193958,-8.591247284,-3.5861269
2018-04-14 04:00:00,21.015520836,106.649681438,-4.137230582,-6.182185444,-5.631765428,-3.059371248,-1.387241708,-2.879145434,-4.15096209,-6.641093936,-3.910841984,-4.128109482,-2.210430744,-4.087540968,-3.11920662,-3.371692,-3.98888693,-3.57478656,-4.200369898,-3.142937466,-5.917524076,-1.801506896,-4.964217848,-6.221136308,-4.474968502,-5.035822678,-3.430426636,-7.172541034,-4.304096344,-4.31117436,-5.439841966,-4.788147104
2018-04-14 05:00:00,14.541718620000001,100.005465868,-3.824732858,-4.435569056,-0.596817716,-4.674825886,-5.353017252,-5.002839612,-3.81893848,-5.720392304,-5.012167972,-2.274297774,-6.554553254,-5.244032922,-5.953180594,-3.58592046,-4.836846566,-4.214444114,-1.042691322,-6.745891014,-3.327718204,-5.239332304,-5.777363366,-2.433829536,-3.84758717,-4.11232938,-1.899014824,-2.473778146,-1.040261984,-0.851968378,-2.038931422,-2.613910618
2018-04-14 06:00:00,13.175065814,87.42112403200001,-0.13930847,-1.587595722,-0.76596616,-7.01662,-4.027817446,-3.181269442,-2.726116608,-2.567730914,-4.86237004,-4.32150548,-2.24399856,-1.267436536,-5.332563312,-5.805261892,-1.054358514,-3.478322084,-2.125747988,-0.8497744,-5.973358908,-2.035672384,-2.237948868,-7.414482604,-4.033679018,-6.477400282,-0.669510044,-1.756506342,-4.972848474,-2.689544496,-6.571764978,-2.40970988
2018-04-14 07:00:00,22.919925497999998,147.13735276199998,-5.697051604,-3.314608114,-4.514224784,-7.366509828,-6.44636312,-4.34253275,-6.205961188,-0.379449858,-6.254499698,-5.285027698,-6.250719524,-7.486018386,-4.81920878,-5.372447346,-10.459813486,-3.067261164,-6.249130322,-5.392966698,-5.14964571,-8.57331947,-2.174246688,-5.273601724,-8.634664056,-5.270798794,-4.218926004,-8.225764564,-7.840020862,-4.043249762,-5.703687088,-6.04555919
2018-04-14 08:00:00,17.357323928,112.03069654999999,-4.927455754,-5.247596864,-4.29875922,-5.749501764,-9.433766834,-0.90664658,-5.576904258,-5.15661688,-0.638344314,-4.261820838,-2.09292001,-3.90092974,-3.520332122,-6.318991428,-2.389752654,-3.69279751,-4.032182412,-4.284632806,-6.918204278,-1.79625977,-4.891708836,-2.329370066,-4.852901244,-4.186600238,-7.281879586,-6.480773212,-2.956259462,-4.147319902,-3.662894156,-3.45389774
2018-04-14 09:00:00,34.153913175999996,211.785367116,-5.670426618,-11.894716628,-4.591012964,-8.38278383,-9.415800308,-9.936201306,-8.990274328,-9.604438722,-6.268807294,-7.17590033,-9.556033522,-12.157926302,-3.92503556,-8.780166968,-8.98052867,-10.478680576,-7.818446596,-9.854062772,-12.448031032,-5.574651306,-9.859068876,-8.94163197,-7.64713796,-5.37347804,-6.59384055,-8.867822944,-5.775006736,-5.57628091,-7.787715454,-8.01337122
