,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-14,0.0,5916.979540969301,-194.53066939627806,-217.4133776782039,-193.76352406067247,-208.13332799482848,-227.07742682073956,-192.76043120362954,-189.48537616023557,-180.06209946647263,-177.9699664014071,-199.5528925436403,-196.22329615123317,-206.14616012530155,-167.25693104627314,-199.89463579635938,-177.07650795294717,-201.0645717708327,-213.86880604747384,-190.54115181066996,-217.27297308878892,-185.2310369221419,-192.74675780609607,-224.30093706592922,-175.92530137528948,-193.4655829665318,-188.94675808623447,-193.3244966248949,-200.89921506696393,-212.4565126509984,-192.10713034690218,-207.48168654133147
2018-04-15,0.0,7332.899974321157,-267.5370292790235,-250.43254761331306,-255.66451694663658,-246.34159523603788,-258.7168617567062,-258.25263245856496,-244.12974723120965,-227.24618611214157,-241.15572102039755,-271.82151473149344,-232.50712290296715,-249.24444644829137,-231.0472817363052,-252.63726213494365,-218.32461829169117,-229.2458769403862,-245.715799781299,-231.68375021226703,-274.18044178243156,-231.05130440212903,-228.19127805978556,-251.7935204912976,-237.57272219197534,-215.24558418143386,-246.1475342616134,-248.70047838448633,-252.250293367063,-239.1270268127915,-249.06296286922762,-247.8723166832465
2018-04-16,0.0,9971.412307154256,-341.96375763732254,-324.85884467000307,-324.6433821754002,-313.41140220112595,-302.50448958226474,-349.79563602967073,-347.61362277144167,-318.12683278698756,-347.34375423861337,-305.4793327473792,-334.6932988692462,-341.31635454041344,-315.1152522318544,-333.9874723976579,-329.4958541321623,-328.1957344378721,-327.3124218419681,-315.66262833265574,-347.40463813018295,-351.9777880775254,-391.27931186122714,-286.09596388009874,-327.28708167423554,-333.2874328074633,-344.80598557646584,-337.97826975674474,-342.9038068779012,-330.7389491746002,-353.08143592147525,-323.05157179229656
2018-04-17,0.0,5402.855311529352,-203.78173858159053,-177.51348709250337,-179.04480803693085,-180.05305226402143,-204.09601986885818,-169.27682490042835,-188.9457849126235,-176.1040934182579,-201.3057679506559,-167.8565454716891,-167.9689028586359,-174.93779539904867,-172.85500116396824,-161.30461551623083,-186.354775842086,-182.887444422294,-179.8108621538961,-190.1957633309912,-177.7688505879495,-192.1321498903467,-170.37482894526087,-133.86282831330516,-166.08256254512003,-177.50537807618107,-208.2578121078094,-196.15132480103787,-179.14600463558327,-171.17270543963778,-169.83648513374064,-196.27109786866893
2018-04-18,0.0,5322.350807091137,-175.5316842957744,-188.66772588379786,-156.59763317317191,-187.6246570413725,-158.6431551781281,-163.73281053896832,-164.46569269294102,-188.70231167545606,-201.2887704703859,-174.8174220217431,-168.25351136692674,-162.32671380132373,-187.96150183153244,-173.4865088227715,-154.18098592316036,-200.66439515240268,-179.0987812964744,-201.6748347725893,-188.9779643526117,-175.67668127020406,-197.1654570678206,-169.81489749991258,-194.46685435060002,-196.4752659658482,-169.55850288373952,-142.30746237528868,-178.2348198270017,-167.7971369406453,-188.93883285990435,-165.21783575863972
2018-04-19,0.0,4052.088830177277,-135.16384073933986,-108.82905207043642,-104.08361562742772,-144.17004599712067,-149.44452563095263,-143.55849610078045,-133.94967374797415,-145.93983568619169,-151.2132945674273,-129.25769286706188,-148.61827045152762,-137.92908765096712,-135.3401212802363,-148.98276106702775,-128.4914172222657,-149.95208444701987,-130.09894635348167,-137.92403192670284,-154.3307687575876,-135.13616558038774,-129.16104512277406,-101.86952643769,-132.12799172526053,-109.04051531556928,-134.89683889880692,-104.85247563737914,-145.69068154253048,-135.78193794667996,-155.74210423227856,-150.51198554639095
2018-04-20,0.0,3352.736550343403,-117.63793313349773,-118.04138405842956,-102.68668498169201,-109.15658220909607,-120.41907608538786,-99.4366840914693,-109.19184096702783,-93.55054740892523,-119.10916212798192,-108.90376716073119,-104.2588361163864,-142.74947492605335,-123.33256663834452,-112.28222098207095,-108.36184543247764,-94.75180895527262,-126.13116019668286,-116.4963318553232,-92.70445288931336,-113.7363759036083,-93.8290670729093,-110.83213378954213,-128.47103378634503,-98.57572657884906,-134.3404485551674,-105.5736273347931,-119.65899363861165,-112.91669535690073,-114.87640524040762,-100.723682870105
2018-04-21,0.0,2603.34258408278,-85.94947747801905,-74.0461959696975,-90.58919173211608,-82.2446435030337,-106.48791348210322,-82.26663024247345,-83.95768763746965,-92.52156935642297,-82.62999397089618,-85.65077745978034,-89.41808365665844,-86.19980038780415,-77.89406329740847,-93.41365878235773,-79.71134473056594,-84.31843390664132,-80.27245528617644,-82.61209830666166,-97.25323111771166,-88.59772676506786,-93.02052957756418,-74.98471439208298,-88.20711765788406,-84.8032980652913,-93.84962928126453,-82.99357037762773,-92.09776341297417,-91.7473675919681,-82.1664288905193,-93.43718776653783
2018-04-22,0.0,3730.154815500237,-102.8494243839388,-129.32445949896106,-127.7952939863625,-105.37877373140356,-117.01964738502295,-101.0345821347769,-142.63483639507083,-110.18956745694499,-116.69276992760369,-111.26849139020702,-122.0654566934307,-128.57672340581,-105.93737109230979,-140.17968313148717,-155.2024818260239,-132.25784120501092,-128.8311577081488,-130.11737869300015,-126.44498045534455,-134.67089811507427,-116.80735736223879,-137.6321723825093,-145.69440243397477,-132.52364226046407,-136.81708143190258,-111.4428376040298,-118.24473353926358,-126.29577599259714,-119.31865142958736,-116.90634244773638
2018-04-23,0.0,2855.8053264488094,-99.43035344136116,-104.30399434190956,-90.96222382729205,-85.33262219757582,-98.50009981646845,-95.25932177328309,-110.1354989160149,-69.12340832543121,-88.85134800556379,-85.82743008260132,-91.36441241562535,-117.89983219379667,-83.29639427031348,-95.97767506442274,-77.73774472784561,-104.35483502199033,-119.61862396999872,-100.56916704074655,-113.0633247396006,-85.47232565572226,-82.60233183982668,-80.95450381365477,-102.30875978550584,-96.64785936174236,-97.1957916122974,-87.74282155308187,-97.26195678009913,-104.50963682526503,-89.44941009087465,-100.05161895889775
2018-04-24,0.0,3635.1800023861415,-136.65404820195764,-105.03208101568013,-137.86081597417385,-113.52440175795141,-120.3469986810286,-141.07739880282546,-125.84480442431169,-125.59960546642115,-107.209671818115,-135.22469035540772,-111.73385372003916,-109.38895165565775,-129.3355423303824,-126.49673418054526,-126.83518253020107,-128.33318250029703,-125.71789512436918,-121.01823869370371,-117.82895359688774,-120.99138423979953,-99.88920216004094,-103.57504324068275,-115.03127434121258,-134.80427544204738,-134.9591037482431,-119.67498624807799,-107.01176328790619,-127.29311936136332,-114.56559255947832,-112.32120692733355
2018-04-25,0.0,5661.773184069044,-194.66762530389488,-192.29623887996806,-187.1494340137967,-177.73677861530632,-193.99565448943383,-222.40426053238545,-191.67166577356042,-195.21907934429422,-189.2125178482174,-208.4443149599443,-166.68164679635075,-187.62199389319179,-163.22044452913306,-201.31684460887098,-206.7084249706036,-198.69523666572502,-192.41780772214335,-208.42795527374355,-158.19038831571928,-205.45355285172909,-194.37368732101643,-183.98246952027844,-200.0507381405781,-187.16081992409525,-169.5559948056133,-184.20232086321099,-173.36674624801094,-193.86901000681544,-170.39396557078615,-163.28556628062782
2018-04-26,0.0,5523.86526091283,-175.02680854817973,-206.3547670452463,-170.59464126064356,-194.10949351750176,-158.88979738311488,-180.37542454378593,-179.48398789336372,-196.51410858016732,-166.1233675634644,-197.7721084110369,-199.2082847755687,-203.7898662895557,-200.89522640206897,-188.87600409115967,-180.32597594832035,-171.65147505961104,-182.3852305445862,-170.30053737303047,-183.17147828606622,-176.56155232368977,-177.03012058278716,-200.11521982600584,-184.0066367621207,-201.27860339395252,-171.61855544233333,-191.6784945056926,-179.48986919523654,-163.11982410897724,-191.79248611703338,-181.32531513852928
