,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-30,0.0,4724.1057379650665,-159.41636210757383,-159.06796729169832,-155.62654420066335,-156.1606431781077,-161.77573501461947,-159.22938000418625,-160.86841738785822,-151.45108092293972,-155.90119863668062,-158.1435067159407,-154.89187263052966,-160.25351355442612,-153.53369364043363,-161.1623920845302,-153.23482909651918,-159.35467144219996,-158.42346475192178,-157.94001830873012,-160.080619916045,-158.2312155254841,-156.51937310119007,-151.68335159470948,-157.27579423314472,-158.7832472297576,-161.07225493649293,-153.4438221579705,-157.64231715627713,-157.36826977722524,-157.37119487344575,-158.19898649376523
2018-05-31,65.9765153893124,2590.29662403619,-84.43743137898451,-92.33413519647367,-85.68667047358123,-87.50773668970128,-90.5731994605708,-87.41947852166889,-87.88236675949197,-88.08217078433955,-87.25498062586169,-89.36966445269547,-86.97337528426398,-90.67815875020814,-86.8593127683025,-88.0455137417829,-86.52825881228947,-87.09301241989256,-89.5798903597546,-89.99613686300171,-89.32660187678509,-88.74294563329043,-89.07068876741538,-90.07611975481687,-89.82365897126473,-88.83418153947434,-85.43876691857821,-92.82826935475042,-89.37604460952998,-90.20182476827472,-88.42087566740001,-87.83166822105763
2018-06-30,39.33478850420918,3262.0697691536393,-110.77812887356733,-107.59388261320522,-109.80353140927241,-107.95715101627718,-106.10159909575188,-109.72344286010517,-111.28986631968425,-115.88842613479675,-105.08584356509083,-114.6392972910529,-110.83974625361412,-110.39435642642792,-110.66478299445369,-106.90779089139491,-110.07136209666926,-106.79099224381285,-111.03936148748497,-115.49142657987713,-111.20592911680924,-109.12068588194407,-114.9151112178957,-107.25284918645812,-108.80542626196319,-111.66698903295419,-107.37853506674826,-109.3798872812882,-113.29225509726716,-110.02746058421585,-110.75267064918108,-106.54577012858455
2018-07-31,119.36610124964776,3152.503531424575,-108.88442906706645,-111.74833923278018,-105.9897323700343,-106.8070082271368,-113.97676353229014,-109.41274606582051,-111.80305686052941,-107.81433858300406,-106.80980171835508,-110.47605174161338,-113.43657491845205,-107.65156117841194,-112.06789626706653,-110.7090994178992,-105.80379058989806,-111.59225306703227,-106.04543314711081,-106.58295207981323,-109.42349349831665,-111.79412092294145,-109.66215359547385,-110.99082253086816,-105.93689175771704,-112.01762280267245,-108.45214395636347,-105.21520743635172,-103.25600273075227,-106.63900869408313,-110.48115772684316,-110.38917895752523
2018-08-31,7.589480668538441,3899.6001086008614,-131.4197899022836,-136.3458197081085,-125.28823885207461,-125.46348031473066,-130.34366217277386,-132.7703777810584,-125.6748949553722,-129.8268424785352,-130.56031985124145,-126.46311535779734,-131.60769665858012,-125.86600385605222,-132.68497078482872,-130.11119653727806,-133.690497515633,-132.84421547736181,-125.90825233467285,-126.70437783904305,-133.29508815459252,-133.86695711922084,-128.08342563716468,-133.51585040056418,-127.53146340474824,-131.77473418243372,-128.44790560607112,-133.06543999259245,-128.27934112975592,-131.73627565960822,-134.69931976344407,-129.32003584177792
2018-09-30,0.0,3914.5727799724864,-130.84239022153545,-125.29100084748649,-127.77405506692152,-132.18590617684742,-127.81141747328742,-124.83299424189002,-132.57162172984175,-131.76217893801484,-134.90236767623952,-131.81884741819903,-129.19025595412,-129.92955765928025,-132.6451780944555,-136.87290749507486,-131.22347894236944,-128.65795191468982,-127.41710646445135,-129.2937372334127,-127.80501851400345,-130.22620732917858,-136.61264046643998,-130.19443767973402,-131.3359393978337,-128.9995824433782,-124.75606688550252,-132.4010178437724,-135.09226657163978,-129.55151315188215,-131.3918346702312,-131.18330147077293
2018-10-31,545.3511314338783,14055.481222561266,-494.62549229063853,-482.78595090527546,-487.85521767338344,-482.6408105028114,-487.70370429817604,-496.0585898765803,-498.6493637490953,-488.9396087106166,-476.94585995166244,-487.6263865889372,-492.5654620337942,-471.7274203917026,-482.10756908988384,-484.83831720924127,-496.3121581689266,-493.5332479210287,-500.99371607404044,-480.0338388485454,-470.3939021596273,-479.6722266683707,-482.4892294166094,-474.97453521395306,-489.21512394252414,-488.1865062277553,-475.59452869233445,-487.1915705923683,-488.36173107852795,-491.3270347837332,-492.1138124253623,-495.36943850963866
2018-11-30,2601.791327779965,19926.392077974197,-759.3026936273152,-771.4510312261984,-752.2503842838432,-763.9452357111531,-743.8097225474869,-755.3004142003524,-737.6207974608374,-751.7106616558739,-743.219836148571,-749.1877838710918,-746.8086076908543,-744.6238951935418,-760.2402674089784,-749.2615175143864,-762.7785918775047,-728.9326756832892,-757.3050510691726,-748.6990167183527,-764.1251546629708,-742.9509346156781,-744.5602152455823,-732.5641358768346,-745.1236020111988,-751.4256913329813,-756.597053803304,-748.0078959717744,-754.6815950212472,-747.1954470657902,-760.5470450060858,-753.9564512519114
2018-12-31,15839.384943935898,51034.16690481034,-2237.427408150995,-2232.48793842093,-2207.978605255776,-2226.3227970280855,-2207.0012679809665,-2196.9790020970445,-2236.439095966379,-2212.599149466545,-2230.42671489035,-2214.686458747512,-2219.489076971866,-2241.2421794847824,-2258.7311184098085,-2255.1941871288254,-2232.926860178707,-2228.371617125736,-2238.7994182624707,-2220.47434350688,-2202.988900027358,-2238.8265805710494,-2224.723994362862,-2252.1191178287677,-2201.8180572826036,-2222.0512185022117,-2278.7031733047434,-2238.2652706561657,-2201.3076339060503,-2224.0313297355374,-2303.629979548724,-2187.5093539465156
2019-01-31,42200.122037277186,105743.48473779092,-4930.368909807304,-4941.474013629955,-4960.958401572602,-4990.484728066042,-4854.022812152453,-4912.950491235589,-4896.313495926952,-4863.425421604262,-4925.734397068176,-4906.189265713494,-4924.2260347681695,-4966.329633091161,-4932.398348180334,-5020.872209407758,-4922.067565305369,-4992.93148866319,-4959.029460511394,-4903.342682721982,-4933.119171190583,-4933.531334001788,-4903.126038067141,-4867.233239165753,-4906.0796294333195,-4922.4627426169445,-4976.447012870443,-4921.786464446275,-4932.463341567927,-4941.9338959895895,-5002.880754585679,-4899.423791706477
