,grid_1,sm_1,consumer_1,consumer_2,consumer_3,consumer_4,consumer_5,consumer_6,consumer_7,consumer_8,consumer_9,consumer_10,consumer_11,consumer_12,consumer_13,consumer_14,consumer_15,consumer_16,consumer_17,consumer_18,consumer_19,consumer_20,consumer_21,consumer_22,consumer_23,consumer_24,consumer_25,consumer_26,consumer_27,consumer_28,consumer_29,consumer_30
2018-04-30,55.391913077597565,6144.556852926021,-203.3114044195249,-207.48458102265042,-197.8103706083065,-207.19057973485909,-212.06977779279964,-209.84034147174063,-215.22464448057463,-201.82616521522797,-214.0696979147486,-205.23004006566816,-202.36816482217233,-210.80734014620177,-200.45831100570823,-212.9028228819932,-194.41616296494496,-213.5851087795574,-204.34510363157491,-207.87017550758583,-208.39928672770486,-212.68526467292364,-209.01705843677556,-194.68835901280463,-207.52984554622427,-210.91318291212949,-206.7956354950712,-200.69408776230364,-208.22433383320734,-204.63647107753508,-207.7842348949182,-207.77021316618098
2018-05-31,36.2515012438137,3454.8308663262037,-110.73680952889734,-121.93818417132621,-112.85458089129831,-113.23064300514773,-118.14494408217479,-115.99682147413684,-115.56836416076482,-115.68471311056592,-115.45073238990202,-118.0441652240793,-114.44575868676345,-118.60926652723391,-114.39496594455562,-115.70529472495478,-113.36789581454072,-114.2805336497081,-117.63188917036635,-118.76185653652942,-117.21201144573773,-115.83769372018502,-116.78515146411114,-120.14678892085689,-117.29913194140774,-116.10253146942124,-112.62550820678574,-122.54473661186454,-117.71574986703314,-118.38019963721106,-115.7232243388437,-115.86222085361354
2018-06-30,19.66739425210459,3845.853297547903,-129.0736533202752,-125.6548996946314,-129.26235458544312,-126.4787573897878,-123.7984160612696,-129.37987014258735,-130.9131840518566,-135.51766068259053,-122.84599589545522,-134.56965053682111,-131.25748025532315,-128.3663120354279,-128.76284662162863,-125.40823317206767,-128.51117434816027,-124.7648082968011,-128.2580848153771,-136.28708968483573,-130.2054712185127,-127.35346667831139,-134.55630999264048,-125.61131475947637,-126.93209434760814,-130.70166644261766,-126.82089451234181,-129.3603950726962,-131.67924054033134,-129.24404671497413,-130.20973691817056,-123.73558301198749
2018-07-31,134.70544474159837,3519.9328044518124,-121.54945611419208,-124.17907274640982,-118.34707117738274,-120.28211426117429,-127.34091530406211,-122.08612926964702,-126.26042168479673,-119.6321901574298,-118.75280763222263,-123.46180792530495,-126.3811269452399,-119.84623166315457,-124.86356033215488,-122.77992924716548,-118.22708763242605,-124.69225958695769,-118.541733354119,-119.01941788408506,-121.82925196824819,-125.36560715180636,-123.00162655878765,-124.67109204710374,-118.47905470675488,-125.12414517711488,-121.1556294026567,-117.96246811365147,-114.96159231287743,-119.38576230188825,-123.65712833760844,-122.80155819698774
2018-08-31,3.7947403342692203,4316.852346623886,-144.70427471477754,-150.1132625718378,-139.02980927484057,-138.26541108643582,-143.85848575935387,-146.75688684274485,-138.72609821468708,-143.7454477782903,-144.08091487728518,-140.161649859588,-146.12239804734648,-139.18277175323038,-146.83945227290852,-143.79963288954576,-148.98304042532527,-146.5754881893539,-139.10697690367633,-139.90823741158235,-147.04683255469462,-148.43484951481162,-141.71052211889653,-147.00786513266686,-141.29572206120693,-146.13927371708184,-143.01506001099588,-147.24803394011954,-142.18787216524836,-145.26766634771704,-148.52521762028164,-142.80793290162347
2018-09-30,0.0,4496.173127173802,-150.6677359203483,-143.4436435440178,-146.8823593929071,-151.58126969994262,-146.4209191832627,-143.82399246780338,-151.29542826354051,-150.95049331425673,-154.5831821654697,-152.09401983422586,-148.36163887092792,-149.13775545829472,-152.45083712697394,-157.32623870326694,-150.4999539574376,-147.77481407773595,-147.06589703058486,-148.87704224282444,-146.8843089342871,-149.92631509922407,-156.84850668667676,-149.27485401159268,-151.0398235583037,-148.20302138913453,-143.73489386688777,-150.75348837163372,-154.4473633363985,-148.94768880286838,-151.75334343693456,-151.12229842603915
2018-10-31,2939.8493882120856,12923.267922302986,-542.1915907869825,-527.6595338684659,-529.1903140256405,-526.0603038652627,-530.1822300192065,-541.5634161801098,-534.9976477914585,-532.8563532303402,-516.3842267944208,-522.5190893397485,-536.9313097435594,-514.0127254749565,-523.4877143165062,-521.8835411641996,-534.9166153126497,-527.8331483232918,-544.8197725868717,-525.3898949255355,-515.6176411295735,-522.1453267096418,-523.7143297098689,-515.1066778379329,-535.8736709626795,-533.8346966829477,-521.316982428948,-531.5882898539226,-524.9396894964311,-536.9029917794961,-536.1044447493379,-533.0931414250857
2018-11-30,7248.782566310191,24516.348913800386,-1064.5454453693949,-1084.1092672748314,-1056.960913021488,-1081.4805390107629,-1062.4352030695497,-1065.7289882463624,-1038.3000623492003,-1074.416224282956,-1050.3275208392517,-1057.0507831074412,-1054.3418772949767,-1038.4668913768687,-1076.6713763994,-1060.8092924990938,-1081.3161299317476,-1017.2669603568097,-1070.6729427802618,-1050.0825572801048,-1058.8950122000756,-1041.5037517779788,-1051.9454982334278,-1035.7857211185149,-1053.4826932720052,-1068.8966384210967,-1066.633216384286,-1051.5196938917866,-1066.1334473456745,-1054.7552362603685,-1070.7736156738858,-1059.823981040972
2018-12-31,35547.72383046658,78539.04258962628,-3937.6656394315096,-3464.2006442290367,-3423.3678095008613,-3472.1048048810517,-3445.407647947385,-3444.3805989024745,-3521.9887228692796,-3459.750268692959,-3605.7485964106063,-3731.331486308077,-3759.8116109520033,-3860.213297508547,-3975.684025409084,-3963.2447228102483,-3934.171209550968,-3926.3010137780334,-3958.1276195316514,-3948.893470890147,-3887.6022870818397,-3941.598033308138,-3959.0911523844948,-3940.9165401632736,-3921.651761158058,-3955.4557375156355,-4022.5997806507085,-3949.0927785152567,-3857.8917968974097,-3922.276203359677,-3969.8123181578258,-3926.3848412966126
2019-01-31,66312.14392218992,86615.43486373541,-5166.302400152263,-4582.945381206088,-4661.089910597865,-4783.0382964515065,-4685.29991399188,-4930.866866904676,-4971.319741709697,-4933.313054368882,-5030.77018570452,-5000.356184115748,-5103.46069366153,-5187.639289676823,-5153.929933860531,-5285.617257581368,-5135.730261070039,-5274.424928666336,-5240.169516235065,-5170.15224383394,-5179.565088362451,-5232.855596775414,-5185.341711408711,-5155.389726751057,-5177.23680630229,-5227.107775266734,-5248.784508643926,-5238.632826959903,-5264.718961818096,-5245.812090766102,-5303.907556271393,-5171.800076810499
2019-02-28,21914.80763275422,45414.87466110036,-2238.2123620803195,-2146.459224583388,-2149.0632979699044,-2231.774512856899,-2219.659843953905,-2199.9278343899628,-2182.221149832645,-2273.8464749161767,-2236.9196918765697,-2224.2019041547123,-2279.0765588525605,-2298.856266411026,-2253.320451324206,-2282.558332714375,-2245.846468377961,-2252.671211308372,-2250.173197068301,-2243.443101743923,-2286.3918524280743,-2311.9022775338553,-2259.522294778529,-2272.8547038464462,-2275.4231014865286,-2243.2122798422197,-2242.9278052868717,-2226.775842048218,-2266.790847214504,-2213.231612225555,-2266.0836881158903,-2256.33410463268
2019-03-31,3314.0372581724664,22288.303325787045,-853.4554515917634,-864.4515133958702,-856.5923449949478,-834.2983593863531,-871.8305129755039,-870.9969578505145,-823.0793608189473,-851.1170179966529,-863.4114793436235,-866.9256558014324,-864.3445885697803,-856.0711401088813,-859.8064697625146,-831.6555403487852,-874.1819331529829,-848.8679962237901,-848.8192837379886,-863.8553954271525,-858.7906553242512,-851.7284279022573,-842.1601931280161,-858.0481026185801,-849.9788783725701,-852.0092041090484,-859.1030073737384,-833.0007400136924,-867.529369900238,-839.0414397568437,-852.2714737339294,-834.9180902388641
2019-04-30,8.200028141670426,6264.217286305995,-211.03021256174958,-204.4960176194946,-206.48743440390786,-218.0510058505913,-208.3164867685858,-214.8498564563509,-202.28526947747815,-203.5935127814006,-203.59169922631847,-212.67383951398392,-207.85318820003997,-211.41359928220632,-204.4315771097468,-215.39064414238726,-214.6339789410757,-207.72410670153,-207.86603903861777,-215.74024036528644,-214.40457923364767,-216.21069026380079,-198.94650641729427,-202.30499702332145,-212.63708770055194,-207.13662597280978,-204.8610258184692,-206.51648869075933,-216.1530674181885,-210.13721875681665,-205.21431895547363,-207.46599975578064
