,0
2018-04-14,-212043.2573955691
2018-04-15,-253837.71599558272
2018-04-16,-301314.99542586977
2018-04-17,-173683.42427980283
2018-04-18,-177619.1892638886
2018-04-19,-144152.11179429604
2018-04-20,-124449.72992813068
2018-04-21,-117057.00535901477
2018-04-22,-144140.22071680738
2018-04-23,-146421.53942179042
2018-04-24,-162352.2234274381
2018-04-25,-220879.54701053226
2018-04-26,-238192.62372932993
2018-04-27,-222624.00044453735
2018-04-28,-205622.02604137585
2018-04-29,-128764.68789812717
2018-04-30,-137224.30485629642
2018-05-01,-177107.89300528125
2018-05-02,-243757.24441581234
2018-05-03,-148241.19663747385
2018-05-04,-182450.59642953795
2018-05-05,-178859.2414025955
2018-05-06,-123865.1111833442
2018-05-07,-97070.1481259407
2018-05-08,-92331.45325303079
2018-05-09,-88167.29280013643
2018-05-10,-85057.78454615983
2018-05-11,-88254.75235935695
2018-05-12,-83769.0597523722
2018-05-13,-91303.2055045037
2018-05-14,-100960.2323663581
2018-05-15,-122960.31855730328
2018-05-16,-109706.9836908325
2018-05-17,-109211.123219144
2018-05-18,-97661.16943510181
2018-05-19,-119104.53883030446
2018-05-20,-99745.62597154197
2018-05-21,-104872.28113486119
2018-05-22,-113243.19493981199
2018-05-23,-100018.35719616646
2018-05-24,-101195.24599018846
2018-05-25,-98054.82487695175
2018-05-26,-89809.78147282505
2018-05-27,-91289.79031708358
2018-05-28,-107298.0930129559
2018-05-29,-102243.21906638257
2018-05-30,-149850.7351008719
2018-05-31,-188317.58893562542
2018-06-01,-94752.71698300364
2018-06-02,-83368.0009636114
2018-06-03,-101370.5921890697
2018-06-04,-114080.1518065484
2018-06-05,-109569.26780977623
2018-06-06,-103696.88440097855
2018-06-07,-95121.03337354922
2018-06-08,-101991.83698270672
2018-06-09,-97751.8252727649
2018-06-10,-93341.14987320424
2018-06-11,-101764.55468009763
2018-06-12,-97702.31453871833
2018-06-13,-108479.96658255575
2018-06-14,-103199.55268239991
2018-06-15,-94486.26578824174
2018-06-16,-96557.83603396856
2018-06-17,-103982.02987268892
2018-06-18,-102385.35649588089
2018-06-19,-99480.15905915257
2018-06-20,-96824.12443271717
2018-06-21,-97583.7876590241
2018-06-22,-107915.50551557093
2018-06-23,-96366.45692100306
2018-06-24,-90102.99011459376
2018-06-25,-95559.1149936461
2018-06-26,-95446.47846635555
2018-06-27,-88267.44976851491
2018-06-28,-94284.79374384163
2018-06-29,-102643.45872522512
2018-06-30,-110538.25276051917
2018-07-01,-75705.61474124456
2018-07-02,-93739.70818996365
2018-07-03,-85849.71081459931
2018-07-04,-93365.87720971386
2018-07-05,-89370.21458579392
2018-07-06,-89533.18220673781
2018-07-07,-100797.97990440605
2018-07-08,-92682.52451149044
2018-07-09,-89129.70171677343
2018-07-10,-91372.04195230355
2018-07-11,-89613.61566326286
2018-07-12,-87478.54025793767
2018-07-13,-77273.55728407769
2018-07-14,-80345.07071442775
2018-07-15,-79646.6740993919
2018-07-16,-82551.96094229442
2018-07-17,-85162.34899817886
2018-07-18,-82011.78781739618
2018-07-19,-87750.36361584811
2018-07-20,-76627.98382152492
2018-07-21,-72911.48819476219
2018-07-22,-81004.43943661083
2018-07-23,-79912.58377287319
2018-07-24,-77655.96917779907
2018-07-25,-75468.50847324276
2018-07-26,-78328.55723597087
2018-07-27,-79808.27997081888
2018-07-28,-76102.3573803215
2018-07-29,-76980.72481916547
2018-07-30,-81726.35152284197
2018-07-31,-114708.23637463734
2018-08-01,-79780.14185722817
2018-08-02,-76242.04335156878
2018-08-03,-77413.58964839917
2018-08-04,-85806.11499178498
2018-08-05,-88758.6876555838
2018-08-06,-96218.25290666513
2018-08-07,-106478.24768344185
2018-08-08,-87129.51249703883
2018-08-09,-83206.3879673693
2018-08-10,-86507.50960602389
2018-08-11,-101894.45992889516
2018-08-12,-86436.28231830122
2018-08-13,-101132.42417012986
2018-08-14,-95172.16676045947
2018-08-15,-93644.40548269507
2018-08-16,-99336.54210228434
2018-08-17,-89931.41015399214
2018-08-18,-100270.0626968527
2018-08-19,-97674.82132536113
2018-08-20,-103988.74631137004
2018-08-21,-100724.88930033844
2018-08-22,-93716.95341636978
2018-08-23,-89245.00869475334
2018-08-24,-92641.18175732174
2018-08-25,-97669.0222587476
2018-08-26,-98902.78610477388
2018-08-27,-103873.19171571964
2018-08-28,-108584.52035043498
2018-08-29,-114810.88353044716
2018-08-30,-99358.76959532626
2018-08-31,-106636.82504696048
2018-09-01,-109015.65674662079
2018-09-02,-108335.29067091871
2018-09-03,-112306.42063357004
2018-09-04,-99562.99678186118
2018-09-05,-101078.45685008533
2018-09-06,-102409.13506106801
2018-09-07,-96018.55185763437
2018-09-08,-83922.72177129233
2018-09-09,-95454.07541552249
2018-09-10,-104695.66573984719
2018-09-11,-87709.01115091179
2018-09-12,-103634.21976484677
2018-09-13,-94067.95536493468
2018-09-14,-99896.58438312101
2018-09-15,-100064.61414383307
2018-09-16,-83966.64921048358
2018-09-17,-108550.64486909087
2018-09-18,-96898.50932011327
2018-09-19,-101072.04094335793
2018-09-20,-96729.21917502664
2018-09-21,-91481.27929309558
2018-09-22,-105172.79260368069
2018-09-23,-92618.21105181746
2018-09-24,-150354.24699378692
2018-09-25,-165113.9151399701
2018-09-26,-145688.29707410393
2018-09-27,-126045.7144568935
2018-09-28,-152909.91978572417
2018-09-29,-150713.66864021868
2018-09-30,-130358.10190564954
2018-10-01,-156410.1469922292
2018-10-02,-158543.7533220756
2018-10-03,-187077.29597336295
2018-10-04,-181294.26433444177
2018-10-05,-426817.252475321
2018-10-06,-412585.63532341435
2018-10-07,-221425.6021524743
2018-10-08,-203501.7458840695
2018-10-09,-197203.96736153436
2018-10-10,-185417.3873517464
2018-10-11,-127880.94958391349
2018-10-12,-153294.8540595525
2018-10-13,-122862.3016680322
2018-10-14,-129083.57136704276
2018-10-15,-182919.08377837497
2018-10-16,-142941.87791998833
2018-10-17,-130573.78459959863
2018-10-18,-145510.1244532566
2018-10-19,-218154.91553898074
2018-10-20,-251707.3970939047
2018-10-21,-311219.72060569347
2018-10-22,-292146.25360756245
2018-10-23,-329156.8532161664
2018-10-24,-392035.29294766876
2018-10-25,-281102.1931453206
2018-10-26,-286912.34958483087
2018-10-27,-581225.5226482052
2018-10-28,-569724.607780556
2018-10-29,-536282.5350762176
2018-10-30,-318937.7944331685
2018-10-31,-243802.94059886262
2018-11-01,-293576.5862263657
2018-11-02,-201809.2305486321
2018-11-03,-272893.2275803248
2018-11-04,-280038.13981752034
2018-11-05,-264995.9796772735
2018-11-06,-257749.97831294753
2018-11-07,-281335.2020226935
2018-11-08,-252553.5780349901
2018-11-09,-233147.5170206688
2018-11-10,-273722.10838072485
2018-11-11,-263964.94163498
2018-11-12,-290340.21846438304
2018-11-13,-275634.51324054477
2018-11-14,-252552.02777734995
2018-11-15,-237486.86970720658
2018-11-16,-231839.28929210253
2018-11-17,-377497.54895902844
2018-11-18,-403393.36191082373
2018-11-19,-407415.5895469004
2018-11-20,-413071.5366292489
2018-11-21,-459134.15373490396
2018-11-22,-441385.86379122664
2018-11-23,-421488.9083703721
2018-11-24,-482413.33490465354
2018-11-25,-498539.07764038374
2018-11-26,-521988.25108791795
2018-11-27,-553720.4022599923
2018-11-28,-601299.7975512176
2018-11-29,-597115.9173919262
2018-11-30,-539687.0235142856
2018-12-01,-535824.837653698
2018-12-02,-514589.0272740364
2018-12-03,-439002.6156171269
2018-12-04,-472058.1880170819
2018-12-05,-506606.6150782466
2018-12-06,-481701.43987071206
2018-12-07,-332286.3217494912
2018-12-08,-358262.6433785952
2018-12-09,-381473.824188688
2018-12-10,-458442.1933943953
2018-12-11,-477999.1889041553
2018-12-12,-463101.22082245344
2018-12-13,-501977.90073176735
2018-12-14,-455867.5233932149
2018-12-15,-478479.7825077176
2018-12-16,-499327.91183386423
2018-12-17,-498509.07540536503
2018-12-18,-653366.5774687171
2018-12-19,-579514.3732232305
2018-12-20,-563540.3808987908
2018-12-21,-545184.6327147532
2018-12-22,-560085.652382916
2018-12-23,-617934.4206618554
2018-12-24,-580872.9488253772
2018-12-25,-570998.962365281
2018-12-26,-530109.2056164207
2018-12-27,-481479.1034398188
2018-12-28,-462261.922327863
2018-12-29,-456196.1964141708
2018-12-30,-469553.21650740854
2018-12-31,-408925.5072347407
2019-01-01,-271262.4843245288
2019-01-02,-604553.7912769474
2019-01-03,-622026.955068545
2019-01-04,-556862.911963607
2019-01-05,-511775.2007489761
2019-01-06,-547753.2682124259
2019-01-07,-535428.4187249743
2019-01-08,-529223.801077657
2019-01-09,-593804.4169861655
2019-01-10,-635022.3404643778
2019-01-11,-569146.6158920593
2019-01-12,-548481.1061320826
2019-01-13,-357088.46596697747
2019-01-14,-495750.8182946821
2019-01-15,-497559.7978823166
2019-01-16,-449147.11807212513
2019-01-17,-480556.5416585352
2019-01-18,-566715.9614916302
2019-01-19,-607688.1396779316
2019-01-20,-621198.0749939723
2019-01-21,-627504.6970863267
2019-01-22,-611416.3379629193
2019-01-23,-598345.8186190474
2019-01-24,-606500.0262951157
2019-01-25,-624776.4415747216
2019-01-26,-599039.4761285983
2019-01-27,-582893.309730042
2019-01-28,-557331.1764885896
2019-01-29,-565456.1471379721
2019-01-30,-582481.6483250697
2019-01-31,-567289.3567773368
2019-02-01,-575673.0739382479
2019-02-02,-601329.3677919048
2019-02-03,-596636.4201103443
2019-02-04,-603536.3823460179
2019-02-05,-553248.3646866881
2019-02-06,-584719.429931724
2019-02-07,-569630.3299208995
2019-02-08,-518402.7793870377
2019-02-09,-507642.147106942
2019-02-10,-477997.62765822624
2019-02-11,-548487.3620263521
2019-02-12,-536340.0627720304
2019-02-13,-421120.5380123568
2019-02-14,-418500.0987013893
2019-02-15,-394990.19524619187
2019-02-16,-363336.6153391129
2019-02-17,-325321.0627358283
2019-02-18,-345074.9480398896
2019-02-19,-416538.9078524309
2019-02-20,-470935.5805274987
2019-02-21,-481446.3809481853
2019-02-22,-516953.97756345617
2019-02-23,-565549.5786094957
2019-02-24,-480207.2369109634
2019-02-25,-428389.65120811993
2019-02-26,-380167.408781927
2019-02-27,-321272.6340814599
2019-02-28,-320856.4849087231
2019-03-01,-461927.9463317437
2019-03-02,-519214.6168852287
2019-03-03,-396630.8193709397
