,0
2018-04-14,-211663.80317528566
2018-04-15,-253442.16537774654
2018-04-16,-299619.9627766063
2018-04-17,-173036.66203229356
2018-04-18,-176006.2542489659
2018-04-19,-143679.349077056
2018-04-20,-124023.53267339255
2018-04-21,-116782.94361458183
2018-04-22,-143956.7734192273
2018-04-23,-145509.00157443332
2018-04-24,-161686.73974561653
2018-04-25,-220346.16720922382
2018-04-26,-237237.91386197088
2018-04-27,-221825.3611663608
2018-04-28,-205242.9503528617
2018-04-29,-128659.15763716756
2018-04-30,-136080.35311756542
2018-05-01,-176242.36407406497
2018-05-02,-242686.90113157846
2018-05-03,-147652.62822437787
2018-05-04,-180001.65853895526
2018-05-05,-178367.92479104133
2018-05-06,-123489.36768109641
2018-05-07,-96392.82113439224
2018-05-08,-91867.05144494904
2018-05-09,-87454.16658575028
2018-05-10,-84499.8551506232
2018-05-11,-87354.44353710765
2018-05-12,-83537.52777150946
2018-05-13,-90979.47072012203
2018-05-14,-100160.01555013146
2018-05-15,-121178.534203097
2018-05-16,-105587.7168663123
2018-05-17,-107499.78943136153
2018-05-18,-96968.44342038893
2018-05-19,-118812.67848232435
2018-05-20,-99398.11073857125
2018-05-21,-104246.28949836995
2018-05-22,-111916.61631145835
2018-05-23,-98444.76434468594
2018-05-24,-100154.811493854
2018-05-25,-97755.12968417558
2018-05-26,-89647.64208696819
2018-05-27,-91069.28144582344
2018-05-28,-106600.50346346128
2018-05-29,-101789.07225686549
2018-05-30,-149135.00886092035
2018-05-31,-187888.96972355977
2018-06-01,-94016.62242614111
2018-06-02,-83189.06440948704
2018-06-03,-101220.52483027008
2018-06-04,-113868.77872004926
2018-06-05,-109090.60388146441
2018-06-06,-103173.29363759648
2018-06-07,-94678.71888739109
2018-06-08,-101640.30537294153
2018-06-09,-97632.18228209659
2018-06-10,-93217.55736389261
2018-06-11,-100138.36798367737
2018-06-12,-93715.22164325777
2018-06-13,-107700.44658499655
2018-06-14,-102878.14843741899
2018-06-15,-94028.01279994118
2018-06-16,-96342.89765716752
2018-06-17,-103871.36938319163
2018-06-18,-102163.29214105644
2018-06-19,-99205.52111695042
2018-06-20,-96563.0363212897
2018-06-21,-97302.23593223853
2018-06-22,-107228.20434198476
2018-06-23,-95867.46577208299
2018-06-24,-89937.82338164908
2018-06-25,-94683.70072541846
2018-06-26,-94017.92099296901
2018-06-27,-87484.09498654636
2018-06-28,-94040.995120453
2018-06-29,-102305.94476993445
2018-06-30,-110382.38510309142
2018-07-01,-75629.2354572568
2018-07-02,-93549.09826340097
2018-07-03,-85573.41277692112
2018-07-04,-92669.76010368172
2018-07-05,-89062.16188480835
2018-07-06,-89316.7897907993
