SpotPriceEUR,HourDK,HourUTC,PriceArea,SpotPriceDKK
50.87,2021-01-01T00:00:00,2020-12-31T23:00:00+00:00,DK2,378.52
52.26,2020-12-31T23:00:00,2020-12-31T22:00:00+00:00,DK2,388.79
51.86,2020-12-31T22:00:00,2020-12-31T21:00:00+00:00,DK2,385.82
52.44,2020-12-31T21:00:00,2020-12-31T20:00:00+00:00,DK2,390.13
56.7,2020-12-31T20:00:00,2020-12-31T19:00:00+00:00,DK2,421.83
59.47,2020-12-31T19:00:00,2020-12-31T18:00:00+00:00,DK2,442.43
61.08,2020-12-31T18:00:00,2020-12-31T17:00:00+00:00,DK2,454.41
61.34,2020-12-31T17:00:00,2020-12-31T16:00:00+00:00,DK2,456.35
59.2,2020-12-31T16:00:00,2020-12-31T15:00:00+00:00,DK2,440.42
56.54,2020-12-31T15:00:00,2020-12-31T14:00:00+00:00,DK2,420.63
53.08,2020-12-31T14:00:00,2020-12-31T13:00:00+00:00,DK2,394.89
52.36,2020-12-31T13:00:00,2020-12-31T12:00:00+00:00,DK2,389.54
50.52,2020-12-31T12:00:00,2020-12-31T11:00:00+00:00,DK2,375.85
43.57,2020-12-31T11:00:00,2020-12-31T10:00:00+00:00,DK2,324.14
43.23,2020-12-31T10:00:00,2020-12-31T09:00:00+00:00,DK2,321.61
47.5,2020-12-31T09:00:00,2020-12-31T08:00:00+00:00,DK2,353.38
45.48,2020-12-31T08:00:00,2020-12-31T07:00:00+00:00,DK2,338.35
30,2020-12-31T07:00:00,2020-12-31T06:00:00+00:00,DK2,223.19
24.18,2020-12-31T06:00:00,2020-12-31T05:00:00+00:00,DK2,179.89
23.7,2020-12-31T05:00:00,2020-12-31T04:00:00+00:00,DK2,176.32
22.54,2020-12-31T04:00:00,2020-12-31T03:00:00+00:00,DK2,167.69
21.29,2020-12-31T03:00:00,2020-12-31T02:00:00+00:00,DK2,158.39
21.37,2020-12-31T02:00:00,2020-12-31T01:00:00+00:00,DK2,158.98
21.66,2020-12-31T01:00:00,2020-12-31T00:00:00+00:00,DK2,161.14
22.49,2020-12-31T00:00:00,2020-12-30T23:00:00+00:00,DK2,167.32
20.94,2020-12-30T23:00:00,2020-12-30T22:00:00+00:00,DK2,155.76
23.13,2020-12-30T22:00:00,2020-12-30T21:00:00+00:00,DK2,172.05
45.76,2020-12-30T21:00:00,2020-12-30T20:00:00+00:00,DK2,340.37
51.13,2020-12-30T20:00:00,2020-12-30T19:00:00+00:00,DK2,380.32
52.32,2020-12-30T19:00:00,2020-12-30T18:00:00+00:00,DK2,389.17
55.14,2020-12-30T18:00:00,2020-12-30T17:00:00+00:00,DK2,410.14
60,2020-12-30T17:00:00,2020-12-30T16:00:00+00:00,DK2,446.29
56.08,2020-12-30T16:00:00,2020-12-30T15:00:00+00:00,DK2,417.13
55.61,2020-12-30T15:00:00,2020-12-30T14:00:00+00:00,DK2,413.64
53.67,2020-12-30T14:00:00,2020-12-30T13:00:00+00:00,DK2,399.21
52.78,2020-12-30T13:00:00,2020-12-30T12:00:00+00:00,DK2,392.59
54.29,2020-12-30T12:00:00,2020-12-30T11:00:00+00:00,DK2,403.82
50.7,2020-12-30T11:00:00,2020-12-30T10:00:00+00:00,DK2,377.12
52.17,2020-12-30T10:00:00,2020-12-30T09:00:00+00:00,DK2,388.05
52.7,2020-12-30T09:00:00,2020-12-30T08:00:00+00:00,DK2,391.99
51.74,2020-12-30T08:00:00,2020-12-30T07:00:00+00:00,DK2,384.85
47.18,2020-12-30T07:00:00,2020-12-30T06:00:00+00:00,DK2,350.93
36.08,2020-12-30T06:00:00,2020-12-30T05:00:00+00:00,DK2,268.37
21.58,2020-12-30T05:00:00,2020-12-30T04:00:00+00:00,DK2,160.52
20.48,2020-12-30T04:00:00,2020-12-30T03:00:00+00:00,DK2,152.33
20.24,2020-12-30T03:00:00,2020-12-30T02:00:00+00:00,DK2,150.55
20.27,2020-12-30T02:00:00,2020-12-30T01:00:00+00:00,DK2,150.77
20.7,2020-12-30T01:00:00,2020-12-30T00:00:00+00:00,DK2,153.97
34.46,2020-12-30T00:00:00,2020-12-29T23:00:00+00:00,DK2,256.32
19.64,2020-12-29T23:00:00,2020-12-29T22:00:00+00:00,DK2,146.05
37.83,2020-12-29T22:00:00,2020-12-29T21:00:00+00:00,DK2,281.32
39.34,2020-12-29T21:00:00,2020-12-29T20:00:00+00:00,DK2,292.55
43.76,2020-12-29T20:00:00,2020-12-29T19:00:00+00:00,DK2,325.42
50.84,2020-12-29T19:00:00,2020-12-29T18:00:00+00:00,DK2,378.07
53.13,2020-12-29T18:00:00,2020-12-29T17:00:00+00:00,DK2,395.1
55.39,2020-12-29T17:00:00,2020-12-29T16:00:00+00:00,DK2,411.91
54.6,2020-12-29T16:00:00,2020-12-29T15:00:00+00:00,DK2,406.03
54.58,2020-12-29T15:00:00,2020-12-29T14:00:00+00:00,DK2,405.88
53.64,2020-12-29T14:00:00,2020-12-29T13:00:00+00:00,DK2,398.89
52.41,2020-12-29T13:00:00,2020-12-29T12:00:00+00:00,DK2,389.75
55,2020-12-29T12:00:00,2020-12-29T11:00:00+00:00,DK2,409.01
54.4,2020-12-29T11:00:00,2020-12-29T10:00:00+00:00,DK2,404.55
51.23,2020-12-29T10:00:00,2020-12-29T09:00:00+00:00,DK2,380.97
55.34,2020-12-29T09:00:00,2020-12-29T08:00:00+00:00,DK2,411.54
54.25,2020-12-29T08:00:00,2020-12-29T07:00:00+00:00,DK2,403.43
49.19,2020-12-29T07:00:00,2020-12-29T06:00:00+00:00,DK2,365.8
43.3,2020-12-29T06:00:00,2020-12-29T05:00:00+00:00,DK2,322
37.26,2020-12-29T05:00:00,2020-12-29T04:00:00+00:00,DK2,277.08
34.06,2020-12-29T04:00:00,2020-12-29T03:00:00+00:00,DK2,253.29
